sep=,
ID,Text,Translation,VoiceActor,Context
501042144899,A nest has become inactive,,,ModItemStoryBit back_to_sleep NotificationTitle
433873099185,A nest has become inactive,,,ModItemStoryBit back_to_sleep NotificationText
539239421300,A nest has become inactive,,,ModItemStoryBit back_to_sleep Title
924669975056,"Twas the night before the attack, when all through the nest.
Not an insect was stirring, not even a louse.

<em>A nest has either forgotten about us, or ran out of things to eat and sustain their level of aggression.</em>

Regardless, there is one less active threat against us! ",,,ModItemStoryBit back_to_sleep Text
715181198950,Ok,,,ModItemStoryBit back_to_sleep Text
275615090059,"That was cute, but no more popups",,,ModItemStoryBit back_to_sleep Text
411649778347,"That wasn't cute, and don't notify me at all",,,ModItemStoryBit back_to_sleep Text
908362848310,A nest has become inactive,,,ModItemNotificationPreset back_to_sleep text
551742581635,A nest has become inactive,,,ModItemNotificationPreset back_to_sleep rollover_text
568019442711,A nest has activated!,,,ModItemStoryBit waking_up NotificationTitle
126554022751,A nest has activated!,,,ModItemStoryBit waking_up NotificationText
945135996075,A nest has activated!,,,ModItemStoryBit waking_up Title
603041965465,"A nest of predators has been alerted of our presence!

The air around the nest is starting to warm up, and there is a low rumbling in the earth.

The ant species (Our closest reference) of Earth respond aggressively to any other rival species colonies.

<em>This nest will now:
1. It's spawn cycles will attack the colony
2. The core nest building will steadily gain HP.</em>",,,ModItemStoryBit waking_up Text
236737271727,Ok,,,ModItemStoryBit waking_up Text
647394331432,No more popups please,,,ModItemStoryBit waking_up Text
760133305481,Don't notify me at all,,,ModItemStoryBit waking_up Text
868817520708,A nest has learned of our presence!,,,ModItemNotificationPreset waking_up text
448523028409,A nest has activated!,,,ModItemNotificationPreset waking_up rollover_text
134460250774,A nest has evolved it's brood!,,,ModItemStoryBit nests_evolving NotificationTitle
815248275915,A nest has evolved it's brood!,,,ModItemStoryBit nests_evolving NotificationText
769708346612,A nest has evolved it's brood!,,,ModItemStoryBit nests_evolving Title
535664889736,"A nearby nest has released a creature that is different than it's prior broods...

This means the nest diverted some resources to improve and evolve it's defenders!
We must hurry and deal with this nest before the creatures get even stronger!
<spore_diff_text()>",,,ModItemStoryBit nests_evolving Text
350519377508,Ok,,,ModItemStoryBit nests_evolving Text
813034085672,No more popups please,,,ModItemStoryBit nests_evolving Text
959647789954,Don't notify me at all,,,ModItemStoryBit nests_evolving Text
277231115910,A nest has evolved it's brood!,,,ModItemNotificationPreset nests_evolving text
706400074027,A nest has evolved it's brood!,,,ModItemNotificationPreset nests_evolving rollover_text
421352706613,A meteor is landing nearby,,,ModItemStoryBit new_nest_scissorhand NotificationTitle
493683430303,A meteor is landing nearby,,,ModItemStoryBit new_nest_scissorhand NotificationText
206941887720,A meteor is landing nearby,,,ModItemStoryBit new_nest_scissorhand Title
150518945986,"There is a meteor on course to land close to us.
Our calculations note that it is too small to cause more than a small earthquake, so thank goodness for that!

We can't make out what it is composed of...
But it must have some rare minerals inside of it!",,,ModItemStoryBit new_nest_scissorhand Text
528830908123,A meteor is landing nearby,,,ModItemStoryBit new_nest_shrieker NotificationTitle
728880909304,A meteor is landing nearby,,,ModItemStoryBit new_nest_shrieker NotificationText
744697671524,A meteor is landing nearby,,,ModItemStoryBit new_nest_shrieker Title
480862517656,"There is a meteor on course to land close to us.
Our calculations note that it is too small to cause more than a small earthquake, so thank goodness for that!

We can't make out what it is composed of...
But it must have some rare minerals inside of it!",,,ModItemStoryBit new_nest_shrieker Text
615713043810,A meteor is landing nearby,,,ModItemStoryBit new_nest_consortium NotificationTitle
395839683430,A meteor is landing nearby,,,ModItemStoryBit new_nest_consortium NotificationText
992773234973,A meteor is landing nearby,,,ModItemStoryBit new_nest_consortium Title
485076708155,"There is a meteor on course to land close to us.
Our calculations note that it is too small to cause more than a small earthquake, so thank goodness for that!

We can't make out what it is composed of...
But it must have some rare minerals inside of it!",,,ModItemStoryBit new_nest_consortium Text
744309693644,"<u(EditorName)> <if(not_eq(Duration,0))>for <duration(Duration)></if><if(eq(Duration,0))>infinitely</if>",,,
744309693644,"<u(EditorName)> <if(not_eq(Duration,0))>for <duration(Duration)></if><if(eq(Duration,0))>infinitely</if>",,,
669542448673,Work Area,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
309932974886,Global,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
908268590289,<IPWorkAreaName>,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
936317374826,Integrity<right><Progress> / <MaxProgress>,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
685477114002,What Enhanced Nests do,,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverTitle
987068224940,<em>Kill it quick before it becomes a problem!</em>,,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverHint
515573972235,Nests Awaken Enhancements (?),,,ModItemXTemplate tabOverview_200_BuildingHealth Title
395383134651,"An <style TextEmphasis>awoken</style> nest, actively growing and sending attacks.",,,ModItemXTemplate tabOverview_200_BuildingHealth Text
304647586842,"An <style TextNegative>overactive</style> nest, coordinating with all other nests to grow and attack!",,,ModItemXTemplate tabOverview_200_BuildingHealth Text
821602814761,"An <style TextPositive>inert</style> nest, slowly growing with some patrolling defenders.",,,ModItemXTemplate tabOverview_200_BuildingHealth Text
177622343318,"How strong this nests next attack will be!
The <em>arrow over the bar</em> indicates the current maximum strength this nest can attack with.
This maximum strength will increase as more nests of this species wake up and the longer this nest stays alive!",,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverText
887730983296,Attack Strength,,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverTitle
640556952688,Estimated Attack Strength<right><percent(value)>,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
828707890863,"How strong this nests next attack will be!
The <em>arrow over the bar</em> indicates the current maximum strength this nest can attack with.
This maximum strength will increase as more nests of this species wake up and the longer this nest stays alive!",,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverText
974540735024,Attack Strength,,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverTitle
514131723970,You dun messed up,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
347900511203,"Our scouts are watching the openings of this nest, and can provide a good estimate on when this nest will release it's next batch! ",,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverText
706440093934,Attack timing,,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverTitle
133904546142,Time until attack<right><percent(value)>,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
439859567286,"Our scouts are watching the openings of this nest, and can provide a good estimate on when this nest will release it's next batch! ",,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverText
867262788940,Attack timing,,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverTitle
812598884528,IMMINENT,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
667468555901,"How much biomass is in deep storage, presumably to evolve the units it produces!",,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverText
355662986259,Attack Evolution,,,ModItemXTemplate tabOverview_200_BuildingHealth RolloverTitle
829117815020,Resources stored for evolution<right><percent(value)>,,,ModItemXTemplate tabOverview_200_BuildingHealth Text
593714970551,New Consortium Base,,,ModItemNotificationPreset ConsortiumNestSpawned text
133001288045,New Consortium Base,,,ModItemNotificationPreset ConsortiumNestSpawned rollover_title
212707868936,A large Consortium Automated Base has dropped from orbit!,,,ModItemNotificationPreset ConsortiumNestSpawned rollover_text
919872346092,Consortium Prefab,,,ModItemTech FieldConsortiumSpore DisplayName
553422873878,Consortium Prefabs,,,ModItemTech FieldConsortiumSpore DisplayNamePl
971095329043,"Based on what landed, this seems to be the Consortium's R.E.P.O. (Resource Extraction Prefab Objects) package.

From their advertisement channel:
<style TextPositive>Ever want to collect and hoard rare minerals but too lazy to leave your planet? Look no further! The R.E.P.O. prefab is a self-replicating automatazapalooza that can strip a planet dry within a decade!</style>
<style FinePrint>Terms and conditions apply, The Consortium does not guarantee minimum efficiency of prefabs. To see the full disclaimer list, please visit the Consortium Headquarters during it's visitor hours on Mondays between 8 and 9 am.</style>",,,ModItemTech FieldConsortiumSpore Description
818323081200,A nest has released roaming units!,,,ModItemNotificationPreset nests_disgorged text
337902645815,A nearby nest has created too many creatures and let some loose!,,,ModItemNotificationPreset nests_disgorged rollover_text
385391840178,Something is happening!,,,ModItemStoryBit begin_nest_disaster NotificationTitle
314102780013,An Asteroid is causing the eclipse!,,,ModItemStoryBit begin_nest_disaster Title
545174437678,"An asteroid is directly above us, and has apparently <em>locked orbit</em> with us!!

After we collected our jaws, we started to investigate....

There are small pieces of it breaking off and falling to the planet.
Most if not all are expected to land near if not on top of us!

<em>Brace for impact!</em>",,,ModItemStoryBit begin_nest_disaster Text
149689226931,Update on the Asteroids,,,ModItemStoryBit nest_disaster_phase_2 NotificationTitle
776896274811,Update on the Asteroids,,,ModItemStoryBit nest_disaster_phase_2 NotificationText
480031496740,Update on the Asteroids,,,ModItemStoryBit nest_disaster_phase_2 NotificationRolloverTitle
501750393611,The situation has changed with the Asteroids,,,ModItemStoryBit nest_disaster_phase_2 NotificationRolloverText
688893463096,Situation has worsened,,,ModItemStoryBit nest_disaster_phase_2 Title
153431079337,"The orbital bombardment has stopped.
The asteroid has moved on.

Did it finish raining hell on us?
The good news is we lived!

Bad news, every asteroid that landed was an alien nest.

Our researcher have surmised they have formed a mesh network.
Which means they are all actively growing broods and coordinating.

We must destroy <nests_needed()> of these nests to disrupt this network.
Hopefully that will return the nests to an inactive zit on the planet.",,,ModItemStoryBit nest_disaster_phase_2 Text
160725137676,It's Over,,,ModItemStoryBit end_nest_disaster Title
714108855519,"All the nests are deactivating.
The earth no longer rumbles.

And I can hear the wind and the birds again.

The threat has subsided.... for now.

We must be proactive about cleaning these nests.
Or else if that asteroid ever returns, it will be easier to start this assault again.
",,,ModItemStoryBit end_nest_disaster Text
408001153551,Update on the Asteroids,,,ModItemStoryBit nest_coordination_insane NotificationTitle
309056483418,Update on the Asteroids,,,ModItemStoryBit nest_coordination_insane NotificationText
118586802562,Update on the Asteroids,,,ModItemStoryBit nest_coordination_insane NotificationRolloverTitle
153227302834,Update on the Asteroids,,,ModItemStoryBit nest_coordination_insane NotificationRolloverText
504022856330,Situation has worsened,,,ModItemStoryBit nest_coordination_insane Title
649949890941,"The asteroid is still hovering above us.
The orbital bombardment has stopped... for now.

It was replaced by a cacophony of electromagnetic signals from the asteroid.
This has disrupted our electric grid like we are under a Solar Flare.
We are sitting ducks with this... thing looming over us.

The somehow even worse news?
Every asteroid that landed was an alien nest.

Our researcher have surmised they have formed a mesh network.
Which means they are all actively growing broods and coordinating.

We must destroy <nests_needed()> of these nests to disrupt this network.
Hopefully that will return the nests to an inactive zit on the planet.",,,ModItemStoryBit nest_coordination_insane Text
103290807944,An unexplained Eclipse has started!,,,ModItemStoryBit begin_nest_disaster_shrieker NotificationTitle
116450847130,An unexplained Eclipse has started!,,,ModItemStoryBit begin_nest_disaster_shrieker NotificationRolloverTitle
589063501156,An Asteroid is directly above us!,,,ModItemStoryBit begin_nest_disaster_shrieker Title
266362493553,"An asteroid is directly above us, and has apparently <em>locked orbit</em> with us!!

As we collected our jaws, a small piece breaks off and starts falling.
It crashes nearby, and through the dust we see a Shrieker Nest unfurl!

Those still watching the asteroid report more objects breaking off.....

<em>Brace for impact!</em>",,,ModItemStoryBit begin_nest_disaster_shrieker Text
672098277776,Unexplained Earthquakes!,,,ModItemStoryBit begin_nest_disaster_scissor NotificationTitle
497010627846,Unexplained Earthquakes are now occurring,,,ModItemStoryBit begin_nest_disaster_scissor NotificationRolloverTitle
707807296355,The planet moves!,,,ModItemStoryBit begin_nest_disaster_scissor Title
659817074401,"The earth rumbles....
It groans and creaks.

And when you put your ear to the ground, you can barely make out scraping and clawing.

Just as you recover, your scouts report a Scissorhands nest bursting from the dirt nearby.
The denizens are quickly cleaning their claws of mud.

This must only be the vanguard... the faster tunnelers...
<em>Prepare for more!</em>",,,ModItemStoryBit begin_nest_disaster_scissor Text
286101144728,An unexplained Eclipse has started!,,,ModItemStoryBit begin_nest_disaster_robot NotificationTitle
